GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-sonar-demo,com.example.product.dto,Product,6,25,0,0,2,11,2,7,2,7
maven-sonar-demo,com.example.product.dao,ProductDAOImpl,26,0,0,0,7,0,5,0,5,0
maven-sonar-demo,com.example.product.bo,ProductBOImpl,16,0,0,0,5,0,4,0,4,0
